         NZ   AusB  Nin3  Nin4  NCal NEPac   IO    EI0   B+T  ZNZn  ZNZs
 201007  27.9  64.8 -84.9 -43.6  72.0 109.6  65.9  85.5  24.5  28.1  27.2
 201008  27.1  37.9 -92.3 -96.4  88.1 123.7  80.1  93.2  24.2  27.1  26.9
 201009   9.9   8.3-100.2-121.4 100.7 131.5  81.1  65.9   6.0  11.4   4.1
 201010   5.7  16.6-139.9-130.1 103.5 121.3 106.1  57.9  -0.7  10.3 -12.6
 201011  -2.3  48.3-133.8-122.8  20.8  87.9 107.2  53.3  14.9  -3.5   2.7
 201012  33.2  72.6-139.1-139.2  47.2  73.2  69.8   8.2  44.8  36.2  21.4
 201101  66.1  60.2-104.5-142.1  78.9 156.8  30.3 -11.5  43.8  81.0   8.0
 201102  82.0  61.9 -63.4-113.8  62.0 173.6  40.0  16.9  44.4 105.2  -8.7
 201103  55.5  29.3 -45.9 -67.5  52.3 128.3  42.3  34.5  36.5  61.5  32.2
 201104  36.9  24.7  -1.3 -47.8  52.0  99.7  36.8  -4.8  25.5  42.0  17.1
 201105  53.2  29.0  25.0 -27.0  48.3  64.4  44.5  12.9  43.4  56.4  40.5
 201106  71.3  33.3  40.9  -7.5  64.9  75.9  65.3  31.6  52.4  73.9  61.3
 201107  38.3  24.2  25.0   2.0  47.9 104.6  50.8  45.5  24.7  40.3  30.5
 201108  18.5  62.8 -21.3  -1.8  27.1 119.8  74.7  66.2   3.0  25.3  -8.1
 201109  -1.4  56.2 -36.6 -19.8  16.5 109.0  58.1  85.6 -16.4   7.8 -37.0
 201110  11.1  48.0 -65.3 -35.0  20.0  92.7  68.2 100.3   5.6  16.4 -10.0
 201111  14.9  62.7 -86.0 -39.0  31.0 124.1  76.5 118.5  -0.2  28.5 -38.2
 201112 -21.0  66.8 -67.3 -85.3  55.4 113.1  96.6  89.5 -15.5 -18.3 -31.7
 201201 -31.1  70.0 -44.5-102.8  24.8  18.7  80.2  73.8 -21.6 -41.4   9.1
 201202  -6.0  62.1  -1.3 -87.3  54.0   8.6  89.1  66.8   0.9  -4.4 -12.2
 201203 -23.3  54.9  10.1 -55.2  54.7   9.1  65.8  29.7 -21.8 -18.5 -41.8
 201204  19.3  66.8  34.6 -18.0  35.5   2.2  89.6  81.7  26.5  12.6  45.4
 201205  15.7  50.7  52.6  -3.1  31.0  39.1  95.7  91.5  21.5  13.4  24.6
 201206  24.4  40.1  96.7  19.6   9.9  42.1  92.0  85.8  23.7  24.9  22.2
 201207  19.6  35.3 120.3  41.1  51.2  30.8  58.7  91.5  19.0  24.3   1.3
 201208  19.3  18.3  95.1  79.4  11.5  47.1  55.8 128.6  17.6  22.1   8.5
 201209   7.5  14.0  67.5  87.9  20.9  40.0  61.9 121.4   8.8   8.2   4.8
 201210  -9.8   1.3  29.6  91.3  32.8  48.2  64.2 101.4  -8.9  -9.5 -11.1
 201211 -51.2  19.7  38.6  93.4 -11.7  94.8  77.6  93.0 -46.5 -50.1 -55.5
 201212 -17.5  51.5   6.5  49.5   0.9  16.0  76.7  72.1 -11.9 -17.4 -17.8
 201301  29.5  91.1 -30.7  17.2  15.5   1.4  60.7  62.7  23.9  25.3  45.8
 201302  39.3 107.3 -27.8  -2.6  28.3  -1.3  94.0  88.9  47.9  28.1  83.3
 201303  34.1 144.6  40.5 -13.7  -4.5  93.9  63.9  97.4  38.8  21.3  83.9
 201304  66.1 113.4  10.7  11.5  40.5  96.7  68.9  59.4  67.2  56.6 103.0
 201305  58.9  92.5 -38.5  15.1  37.3  99.1  68.7  41.8  50.2  56.9  66.6
 201306  14.4  71.6 -40.5  21.9  -1.2  97.4  45.1  34.3  12.4   8.8  36.1
 201307  43.6  90.2 -40.9  28.7  28.0  79.9  53.0  48.3  37.0  43.5  44.0
 201308  52.1  65.7 -34.0  35.3  36.4  66.0  72.5  68.1  48.6  50.0  60.7
 201309  42.7  77.3  16.5  41.5  43.8  85.7  64.6  59.9  33.3  39.1  56.8
 201310  43.1  39.8  11.5  39.7  41.1 106.5  63.2  68.6  32.1  40.9  51.3
 201311  79.9  50.5  12.5  65.4  58.9  74.7  87.2  87.3  74.3  74.5 101.1
 201312  99.5  41.0  26.8  38.8  63.9  76.9  66.1  56.2  86.6  98.0 105.3
 201401  49.4   4.6 -19.0   2.5  42.4  48.7  58.1  92.8  19.7  51.5  41.1
